,Headline,Publish Date,Description
0,Mexico ready to retaliate by hurting US farmers,"Mon, 13 Feb 2017 12:37:06 EST",Mexican Senator Armando Rios Piter told CNN that he plans to introduce a bill this week that would stop Mexican purchases of American corn.
1,Will the next iPhone charge wirelessly? ,"Mon, 13 Feb 2017 14:42:14 EST",The days of plugging in an iPhone to charge won't last forever.
2,How 'America First' could turn into to 'India First',"Mon, 13 Feb 2017 14:20:08 EST","Nandan Nilekani, co-founder of one of India's biggest outsourcing companies, says an H-1B visa crackdown would ultimately hurt the U.S."
3,Swiss voters reject corporate tax overhaul,"Mon, 13 Feb 2017 10:45:35 EST",Read full story for latest details.
4,Stocks hit record again. Is Trump the reason?,"Mon, 13 Feb 2017 12:35:07 EST",The market is at all-time highs and many say Trump is the reason. But stocks were rallying when investors thought Hillary Clinton would win. Janet Yellen and the Fed may deserve more of the credit for the market's move.
5,Apple stock nears record high,"Mon, 13 Feb 2017 12:24:58 EST",Apple stock is less than $1 away from its all-time high amid renewed optimism for the iPhone.
6,"America's NAFTA nemesis: Canada, not Mexico","Mon, 13 Feb 2017 11:59:43 EST",President-elect Donald Trump focuses his criticism of NAFTA on Mexico. But Canada and America have a rocky trade history too.
7,"Verizon's plan: Consumers win, investors lose","Mon, 13 Feb 2017 11:32:13 EST","Verizon has decided to bring back unlimited data plans. But while that's great for its subscribers, it's awful news for investors. It's another sign of how brutally competitive the telecom business is. And it's hurting Verizon's stock."
8,Oil prices have doubled in a year. Here's why,"Mon, 13 Feb 2017 09:39:58 EST",The price of crude oil has more than doubled over the past year after bottoming out at $26 per barrel in February 2016.
9,Tesla will sell electric cars in the Middle East,"Mon, 13 Feb 2017 11:18:47 EST",The automaker announced Monday that its first official venture in the oil-rich Middle East will be in the United Arab Emirates.
10,Indian rival slams Uber's business model,"Mon, 13 Feb 2017 08:48:42 EST",Uber's top rival in India has some unsolicited advice for the U.S. startup: Go local.
11,Cook calls for campaign against fake news,"Sun, 12 Feb 2017 14:50:17 EST","Apple CEO Tim Cook wants the tech industry to take action against ""fake news"" stories that are polluting the web."
12,Trump brand takes another hit,"Mon, 13 Feb 2017 11:07:44 EST","Sears Holdings, the company that owns retail stores Sears and Kmart, said this weekend that it would remove 31 Trump-branded items from its website."
13,Cutting down trash with bamboo packaging ,"Sun, 12 Feb 2017 21:14:26 EST","Universal Biopack makes packaging that it sells to restaurants and manufacturers. But rather than plastic, it uses a mixture of bamboo and cassava."
14,Nike stars champion 'Equality' in new ad,"Sun, 12 Feb 2017 14:49:31 EST","Nike on Sunday launched a star-studded short film titled ""Equality"" that coincides with Black History Month."
15,"'Lego Batman' producer, then Treasury sec?","Sun, 12 Feb 2017 17:57:47 EST","Treasury secretary pick Steven Mnuchin is an executive producer on Warner Bros.' ""The Lego Batman Movie,"" which pulled in an estimated $55.6 million from U.S. audiences during its opening weekend."
16,Are we heading for another Greek debt crisis?,"Thu, 09 Feb 2017 05:54:49 EST","It may seem like a recurring nightmare, but Greece is in danger of running out of money again."
17,Verizon is bringing back unlimited data,"Mon, 13 Feb 2017 08:20:28 EST",Read full story for latest details.
18,Visa crackdown puts these rural doctors at risk ,"Fri, 10 Feb 2017 20:02:55 EST",Read full story for latest details.
19,Trump isn't killing the bull market. Here's why,"Fri, 10 Feb 2017 11:55:17 EST",Read full story for latest details.
